 7.000E-01  2.000E-02  X, Z
    17                 No. of Elements
     1   9.071E-01     Atomic No., Normalised Abundance
     2   9.138E-02
     6   3.776E-04
     7   9.932E-05
     8   7.890E-04
    10   1.251E-04
    11   2.272E-06
    12   4.046E-05
    13   3.147E-06
    14   3.776E-05
    16   1.727E-05
    18   3.531E-06
    20   2.441E-06
    24   4.974E-07
    25   2.610E-07
    26   3.445E-05
    28   1.888E-06
    t=log(T)    log(R)    r=log(rho)  G=log(ross)    dG/dt       dG/dr
   3.500E+00  -7.500E+00  -1.500E+01  -4.168E+00   2.019E+00  -3.860E-02
   3.500E+00  -7.000E+00  -1.450E+01  -4.181E+00  -5.919E-01  -1.620E-02
   3.500E+00  -6.500E+00  -1.400E+01  -4.186E+00  -2.007E+00  -6.709E-03
   3.500E+00  -6.000E+00  -1.350E+01  -4.190E+00  -1.794E+00  -7.321E-03
   3.500E+00  -5.500E+00  -1.300E+01  -4.195E+00  -2.168E-01  -1.652E-02
   3.500E+00  -5.000E+00  -1.250E+01  -4.207E+00   2.025E+00  -3.284E-02
   3.500E+00  -4.500E+00  -1.200E+01  -4.226E+00   4.326E+00  -3.629E-02
   3.500E+00  -4.000E+00  -1.150E+01  -4.237E+00   6.338E+00  -2.061E-03
   3.500E+00  -3.500E+00  -1.100E+01  -4.222E+00   8.079E+00   6.447E-02
   3.500E+00  -3.000E+00  -1.050E+01  -4.168E+00   9.569E+00   1.612E-01
   3.500E+00  -2.500E+00  -1.000E+01  -4.055E+00   1.079E+01   2.935E-01
   3.500E+00  -2.000E+00  -9.500E+00  -3.871E+00   1.147E+01   4.477E-01
   3.500E+00  -1.500E+00  -9.000E+00  -3.610E+00   1.111E+01   5.858E-01
   3.500E+00  -1.000E+00  -8.500E+00  -3.292E+00   9.704E+00   6.791E-01
   3.500E+00  -5.000E-01  -8.000E+00  -2.938E+00   7.932E+00   7.323E-01
   3.700E+00  -7.500E+00  -1.440E+01  -1.541E+00   1.558E+01  -4.594E-01
   3.700E+00  -7.000E+00  -1.390E+01  -1.772E+00   1.580E+01  -4.632E-01
   3.700E+00  -6.500E+00  -1.340E+01  -2.003E+00   1.581E+01  -4.590E-01
   3.700E+00  -6.000E+00  -1.290E+01  -2.230E+00   1.569E+01  -4.471E-01
   3.700E+00  -5.500E+00  -1.240E+01  -2.448E+00   1.542E+01  -4.237E-01
   3.700E+00  -5.000E+00  -1.190E+01  -2.651E+00   1.508E+01  -3.845E-01
   3.700E+00  -4.500E+00  -1.140E+01  -2.824E+00   1.466E+01  -2.972E-01
   3.700E+00  -4.000E+00  -1.090E+01  -2.935E+00   1.407E+01  -1.328E-01
   3.700E+00  -3.500E+00  -1.040E+01  -2.951E+00   1.347E+01   7.173E-02
   3.700E+00  -3.000E+00  -9.900E+00  -2.863E+00   1.258E+01   2.787E-01
   3.700E+00  -2.500E+00  -9.400E+00  -2.677E+00   1.089E+01   4.545E-01
   3.700E+00  -2.000E+00  -8.900E+00  -2.415E+00   8.474E+00   5.892E-01
   3.700E+00  -1.500E+00  -8.400E+00  -2.089E+00   5.728E+00   7.163E-01
   3.700E+00  -1.000E+00  -7.900E+00  -1.702E+00   3.358E+00   8.248E-01
   3.700E+00  -5.000E-01  -7.400E+00  -1.275E+00   1.943E+00   8.680E-01
   3.900E+00  -7.500E+00  -1.380E+01  -5.262E-01  -2.124E-01   3.052E-02
   3.900E+00  -7.000E+00  -1.330E+01  -5.054E-01  -2.870E-01   5.574E-02
   3.900E+00  -6.500E+00  -1.280E+01  -4.669E-01  -2.448E-01   1.022E-01
   3.900E+00  -6.000E+00  -1.230E+01  -4.008E-01   4.228E-01   1.632E-01
   3.900E+00  -5.500E+00  -1.180E+01  -3.069E-01   2.274E+00   2.050E-01
   3.900E+00  -5.000E+00  -1.130E+01  -2.033E-01   5.308E+00   2.019E-01
   3.900E+00  -4.500E+00  -1.080E+01  -1.100E-01   8.899E+00   1.688E-01
   3.900E+00  -4.000E+00  -1.030E+01  -3.344E-02   1.190E+01   1.418E-01
   3.900E+00  -3.500E+00  -9.800E+00   3.589E-02   1.367E+01   1.390E-01
   3.900E+00  -3.000E+00  -9.300E+00   1.092E-01   1.424E+01   1.580E-01
   3.900E+00  -2.500E+00  -8.800E+00   1.966E-01   1.404E+01   1.933E-01
   3.900E+00  -2.000E+00  -8.300E+00   3.040E-01   1.334E+01   2.378E-01
   3.900E+00  -1.500E+00  -7.800E+00   4.349E-01   1.243E+01   2.855E-01
   3.900E+00  -1.000E+00  -7.300E+00   5.889E-01   1.148E+01   3.297E-01
   3.900E+00  -5.000E-01  -6.800E+00   7.644E-01   1.058E+01   3.723E-01
   4.100E+00  -7.500E+00  -1.320E+01  -4.782E-01   2.525E-01   1.789E-02
   4.100E+00  -7.000E+00  -1.270E+01  -4.692E-01   3.261E-01   2.397E-02
   4.100E+00  -6.500E+00  -1.220E+01  -4.495E-01   2.898E-01   5.886E-02
   4.100E+00  -6.000E+00  -1.170E+01  -4.030E-01   9.831E-03   1.378E-01
   4.100E+00  -5.500E+00  -1.120E+01  -2.999E-01  -6.911E-01   2.874E-01
   4.100E+00  -5.000E+00  -1.070E+01  -1.052E-01  -1.844E+00   4.999E-01
   4.100E+00  -4.500E+00  -1.020E+01   2.011E-01  -3.211E+00   7.192E-01
   4.100E+00  -4.000E+00  -9.700E+00   6.021E-01  -4.173E+00   8.670E-01
   4.100E+00  -3.500E+00  -9.200E+00   1.052E+00  -4.289E+00   9.207E-01
   4.100E+00  -3.000E+00  -8.700E+00   1.507E+00  -3.413E+00   8.798E-01
   4.100E+00  -2.500E+00  -8.200E+00   1.917E+00  -1.353E+00   7.456E-01
   4.100E+00  -2.000E+00  -7.700E+00   2.245E+00   1.455E+00   5.648E-01
   4.100E+00  -1.500E+00  -7.200E+00   2.483E+00   3.961E+00   3.948E-01
   4.100E+00  -1.000E+00  -6.700E+00   2.649E+00   5.616E+00   2.823E-01
   4.100E+00  -5.000E-01  -6.200E+00   2.776E+00   6.484E+00   2.297E-01
   4.300E+00  -7.500E+00  -1.260E+01  -4.560E-01   7.141E-02   3.494E-02
   4.300E+00  -7.000E+00  -1.210E+01  -4.360E-01   3.621E-02   4.820E-02
   4.300E+00  -6.500E+00  -1.160E+01  -4.052E-01  -4.945E-02   7.650E-02
   4.300E+00  -6.000E+00  -1.110E+01  -3.547E-01  -2.942E-01   1.340E-01
   4.300E+00  -5.500E+00  -1.060E+01  -2.622E-01  -7.590E-01   2.461E-01
   4.300E+00  -5.000E+00  -1.010E+01  -1.014E-01  -1.300E+00   4.013E-01
   4.300E+00  -4.500E+00  -9.600E+00   1.416E-01  -1.813E+00   5.714E-01
   4.300E+00  -4.000E+00  -9.100E+00   4.698E-01  -2.328E+00   7.405E-01
   4.300E+00  -3.500E+00  -8.600E+00   8.757E-01  -2.739E+00   8.712E-01
   4.300E+00  -3.000E+00  -8.100E+00   1.331E+00  -2.830E+00   9.433E-01
   4.300E+00  -2.500E+00  -7.600E+00   1.810E+00  -2.756E+00   9.598E-01
   4.300E+00  -2.000E+00  -7.100E+00   2.292E+00  -2.662E+00   9.833E-01
   4.300E+00  -1.500E+00  -6.600E+00   2.788E+00  -2.538E+00   9.765E-01
