m,r,rho,T,P,l,epsilon,kappa,grad_ad,grad_rad,grad_act,nature
3.978e+25,55320756.898290746,56.09311233595236,20303256.70643631,1.5264016479691456e+17,2.0530311337497262e+28,516.063197137481,0.7212819183932663,0.4,1.3183211584460677,0.4,CONV
3.978000000000009e+25,55320756.89829078,56.09311233595236,20303256.70643631,1.5264016479691456e+17,2.0530311337497306e+28,516.063197137481,0.7212819183932663,0.4,1.318321158446068,0.4,CONV
3.9780000000000946e+25,55320756.89829118,56.09311233595236,20303256.70643631,1.5264016479691456e+17,2.053031133749775e+28,516.063197137481,0.7212819183932663,0.4,1.3183211584460677,0.4,CONV
3.9780000000009536e+25,55320756.89829516,56.09311233595236,20303256.70643631,1.5264016479691456e+17,2.0530311337502184e+28,516.063197137481,0.7212819183932663,0.4,1.318321158446068,0.4,CONV
3.9780000000095435e+25,55320756.89833497,56.09311233595236,20303256.70643631,1.5264016479691456e+17,2.053031133754651e+28,516.063197137481,0.7212819183932663,0.4,1.3183211584460677,0.4,CONV
3.978000000095443e+25,55320756.89873317,56.093112335952355,20303256.70643631,1.5264016479691453e+17,2.053031133798981e+28,516.0631971374809,0.7212819183932663,0.4,1.318321158446066,0.4,CONV
3.978000000954436e+25,55320756.9027151,56.09311233595231,20303256.7064363,1.5264016479691434e+17,2.0530311342422758e+28,516.0631971374806,0.7212819183932683,0.4,1.3183211584460526,0.4,CONV
3.978000009544371e+25,55320756.942534454,56.09311233595188,20303256.706436194,1.526401647969124e+17,2.0530311386752247e+28,516.0631971374272,0.7212819183932709,0.4,1.3183211584458845,0.4,CONV
3.978000095443717e+25,55320757.34072801,56.09311233594763,20303256.706435163,1.52640164796893e+17,2.0530311830047157e+28,516.0631971369571,0.7212819183933081,0.4,1.3183211584442263,0.4,CONV
3.978000954437176e+25,55320761.322663225,56.093112335905026,20303256.70642485,1.5264016479669923e+17,2.0530316262996267e+28,516.0631971321897,0.7212819183936761,0.4,1.318321158427637,0.4,CONV
3.978009544371768e+25,55320801.14198387,56.09311233547896,20303256.706321754,1.5264016479476147e+17,2.0530360592487354e+28,516.063197084518,0.7212819183973602,0.4,1.318321158261748,0.4,CONV
3.978095443717688e+25,55321199.33203758,56.09311233121842,20303256.70529077,1.5264016477538403e+17,2.053080388739798e+28,516.0631966078024,0.7212819184342039,0.4,1.3183211566028925,0.4,CONV
3.978954437176888e+25,55325180.91734549,56.093112288614805,20303256.69498131,1.526401645816174e+17,2.05352368364817e+28,516.0631918408335,0.7212819188026188,0.4,1.318321140017157,0.4,CONV
3.987544371768888e+25,55364965.28940916,56.093111862747115,20303256.591927502,1.5264016264471754e+17,2.0579566325067387e+28,516.0631441900226,0.7212819224853144,0.4,1.318320974441702,0.4,CONV
4.073443717688888e+25,55759702.15790297,56.09310762074041,20303255.56542335,1.5264014335153738e+17,2.1022860986361926e+28,516.062669547378,0.7212819591681067,0.4,1.3183193462456668,0.4,CONV
4.228102852143545e+25,56456646.949301496,56.09310005750507,20303253.735229928,1.5264010895299392e+17,2.182099838856536e+28,516.0618232899594,0.7212820245712703,0.4,1.3183165339320326,0.4,CONV
4.382761986598202e+25,57136796.738218844,56.093092585952874,20303251.92722242,1.5264007497144e+17,2.261913448995277e+28,516.0609872923359,0.7212820891816175,0.4,1.318313861691014,0.4,CONV
4.53742112105286e+25,57801128.17806104,56.09308520179348,20303250.140362628,1.526400413873625e+17,2.3417269306015424e+28,516.0601610744291,0.7212821530362522,0.4,1.318311315871265,0.4,CONV
4.692080255507517e+25,58450530.10472258,56.09307790107603,20303248.37369451,1.5264000818279235e+17,2.4215402851532052e+28,516.0593441941231,0.7212822161693354,0.4,1.318308884591427,0.4,CONV
4.846739389962174e+25,59085814.041037485,56.093070680152074,20303246.62633518,1.5263997534113568e+17,2.5013535140624275e+28,516.0585362431476,0.7212822786124196,0.4,1.3183065574600088,0.4,CONV
5.001398524416831e+25,59707723.15238785,56.093063535643424,20303244.897467185,1.5263994284702816e+17,2.5811666186806107e+28,516.0577368434843,0.7212823403947145,0.4,1.318304325346952,0.4,CONV
5.190527486561164e+25,60451054.58250728,56.09305489809418,20303242.807304807,1.5263990356239133e+17,2.6787679912756178e+28,516.056770388949,0.7212824150881326,0.4,1.318301713207073,0.4,CONV
5.379656448705497e+25,61176541.70575561,56.09304636484807,20303240.742382187,1.5263986475214205e+17,2.7763691821987935e+28,516.0558156065727,0.7212824888796086,0.4,1.318299218275414,0.4,CONV
5.56878541084983e+25,61885218.36204873,56.09303793104237,20303238.701522607,1.526398263941638e+17,2.8739701936055063e+28,516.0548719521986,0.7212825618111904,0.4,1.3182968293716575,0.4,CONV
5.757914372994163e+25,62578025.76361505,56.0930295921977,20303236.683642134,1.526397884680838e+17,2.971571027552346e+28,516.0539389245707,0.7212826339216151,0.4,1.3182945367506784,0.4,CONV
5.947043335138496e+25,63255823.53654175,56.093021344176336,20303234.687739495,1.5263975095508294e+17,3.069171686004785e+28,516.0530160606792,0.7212827052466634,0.4,1.3182923318768631,0.4,CONV
